Name	Type	Location	Price
Pinetree Happy Breakfast Gathering	Social & Community Events	Ang Mo Kio-Hougang Pinetree RN	$2.00 
Pinetree Morning Briskwalk (March 2025)	Social & Community Events	Ang Mo Kio-Hougang Pinetree RN	$3.00 
Ang Mo Kio-Hougang Raintree RN@ Movie Night ( 30Mar25)	Social & Community Events	Ang Mo Kio-Hougang Raintree RN	$2.00 
Chinese Ink Painting	Workshops & Classes	Ang Mo Kio-Hougang Sunflower RN	$80.00 
Hairdressing/Styling (Elementary)	Fitness & Wellness	Ang Mo Kio-Hougang Sunflower RN	$180.00 
Recreational Folk Dance (Elementary) (HealthierSG)	Workshops & Classes	Ang Mo Kio-Hougang Sunflower RN	$30.00 
Sembawang Park	Outdoor & Nature	At the end of Sembawang	$0.00 
Break-FAST with Austville RN	Social & Community Events	Austville RN	$0.00 
30.03.2025 - ACRN Funwalk	Social & Community Events	Axis Colours RN	$2.00 
Hatha Yoga (Elementary) (HealthierSG)	Fitness & Wellness	Axis Colours RN	$60.00 
Ayer Rajah-Gek Poh (ARGP) CSN Football 2025-Adult	Social & Community Events	Ayer Rajah CC	$50.00 
Ayer Rajah-Gek Poh (ARGP) CSN PACF 2025	Social & Community Events	Ayer Rajah CC	$50.00 
Let's CooknBake - Mee Siam with Gravy & Corn Pudding	Social & Community Events	Ayer Rajah CC	$5.00 
No Cap	Social & Community Events	Ayer Rajah CC	$0.00 
Kreta Ayer Square	Cultural & Heritage	Banda Street	$0.00 
Zumba @Kg Glam (24 March 2025)	Social & Community Events	Beach Road RN	$0.00 
Chair Yoga (HealthierSG) (Bedok Bunga Merah)	Fitness & Wellness	Bedok Bunga Merah RC	From $60.00 to $70.00
Taijiquan (HealthierSG)	Fitness & Wellness	Bedok Bunga Merah RC	From $70.00 to $80.00
Bedok Bunga Merah Residents' Network Block Party in conjunction with ASK HSK	Social & Community Events	Bedok CC	$2.00 
Bedok CACC - Voices of Bedok: Sing together for SG60 Workshop	Workshops & Classes	Bedok CC	$0.00 
Bhangra Dance (HealthierSG)	Workshops & Classes	Bedok CC	From $75.00 to $85.00
Japanese Pastel Nagomi Art	Workshops & Classes	Bedok CC	From $10.00 to $15.00
Karate (HealthierSG)	Fitness & Wellness	Bedok CC	From $100.00 to $110.00
Kayak N Klean with Bedok Youth Network	Social & Community Events	Bedok CC	$5.00 
Korean Pop Dance (HealthierSG)	Workshops & Classes	Bedok CC	From $95.00 to $125.00
Line Dance (Adult) - Elementary (HealthierSG)	Workshops & Classes	Bedok CC	From $65.00 to $75.00
Recreational Folk Dance (Elementary) (HealthierSG)	Workshops & Classes	Bedok CC	From $30.00 to $40.00
Recreational Karaoke Classical Singing (Mandarin)	Workshops & Classes	Bedok CC	From $100.00 to $110.00
Recreational Karaoke Dialect Singing (Hokkien)	Workshops & Classes	Bedok CC	From $85.00 to $95.00
Taekwondo (Singapore Taekwondo Federation) (HealthierSG)	Fitness & Wellness	Bedok CC	From $45.00 to $55.00
