Name,Location,Type,Time,Price
Ballet (Children) - Grade 3,Pek Kio CC,Workshops & Classes,6:15 PM - 7:15 PM,From $80.00 to $97.00
Recreational Folk Dance (Elementary) (HealthierSG),Paya Lebar Kovan CC,Workshops & Classes,7:30 PM - 9:30 PM,From $35.00 to $40.00
Line Dance (Adult) - Elementary (HealthierSG),Paya Lebar Kovan CC,Workshops & Classes,10:30 AM - 12:00 PM,From $60.00 to $70.00
HOOP FITNESS (HealthierSG),Paya Lebar Kovan CC,Workshops & Classes,10:00 AM - 11:00 AM,From $95.00 to $105.00
Ballroom Modern (Adult) - Elementary (HealthierSG),Paya Lebar Kovan CC,Workshops & Classes,7:00 PM - 8:00 PM,From $52.00 to $57.00
Ballroom Modern (Adult) - Elementary (HealthierSG),Paya Lebar Kovan CC,Workshops & Classes,8:30 PM - 9:30 PM,From $52.00 to $57.00
Line Dance (Adult) - Intermediate (HealthierSG),Potong Pasir CC,Workshops & Classes,8:15 PM - 9:45 PM,From $70.00 to $80.00
Zumba® Fitness (HealthierSG),Bukit Panjang CC,Workshops & Classes,7:45 PM - 8:45 PM,From $50.00 to $55.00
Zumba® Fitness (HealthierSG),Bukit Panjang CC,Workshops & Classes,9:45 AM - 10:45 AM,From $50.00 to $55.00
Line Dance (Adult) - Intermediate (HealthierSG),Bukit Panjang CC,Workshops & Classes,10:00 AM - 11:30 AM,From $30.00 to $35.00
Line Dance (Adult) - Elementary (HealthierSG),Bishan East Zone 6 RN,Workshops & Classes,7:30 PM - 9:00 PM,From $65.00 to $77.00
Line Dance (Adult) - Elementary (HealthierSG),Bishan East Zone 6 RN,Workshops & Classes,7:30 PM - 9:00 PM,From $65.00 to $77.00
Jumping® Fitness (HealthierSG),Bishan Heights RN,Workshops & Classes,7:15 PM - 8:15 PM,From $160.00 to $170.00
Ballet (Adult) - Intermediate (HealthierSG),Jurong Spring CC,Workshops & Classes,4:30 PM - 6:00 PM,From $160.00 to $175.00
Recreational Folk Dance (Intermediate) (HealthierSG),Jurong Spring CC,Workshops & Classes,2:00 PM - 4:00 PM,From $40.00 to $50.00
Recreational Folk Dance (Intermediate) (HealthierSG),Jurong Green CC,Workshops & Classes,2:30 PM - 4:30 PM,From $35.00 to $45.00
Recreational Folk Dance (Elementary) (HealthierSG),Jurong Green CC,Workshops & Classes,7:30 PM - 9:30 PM,From $25.00 to $35.00
Recreational Folk Dance (Intermediate) (HealthierSG),Jurong Green CC,Workshops & Classes,10:00 AM - 12:00 PM,From $35.00 to $40.00
Recreational Folk Dance (Intermediate) (HealthierSG),Jurong Green CC,Workshops & Classes,2:00 PM - 4:00 PM,From $35.00 to $40.00
Chinese Dance (Adult) (HealthierSG),Jurong Green CC,Workshops & Classes,12:30 PM - 2:00 PM,From $120.00 to $160.00
Line Dance (Senior Citizen - CT) - Elementary (HealthierSG),Jurong Central Zone E RN,Workshops & Classes,7:30 PM - 9:00 PM,$20.00
Ballroom Modern (Adult) - Elementary (HealthierSG),Changi Simei CC,Workshops & Classes,6:00 PM - 7:00 PM,From $100.00 to $110.00
Hoop Fitness - Intermediate (HealthierSG),Changi Simei CC,Workshops & Classes,2:00 PM - 3:00 PM,From $100.00 to $110.00
Hoop Fitness - Beginners (HealthierSG),Changi Simei CC,Workshops & Classes,3:00 PM - 4:00 PM,From $95.00 to $105.00
